order_id,order_datetime,customer_id,restaurant_id,partner_id,items_count,order_value,payment_method,status,estimated_delivery_mins,delivery_duration,delivery_distance_km,tip_amount,restaurant_name,cuisine,rating_x,address_x,city_x,opening_time,closing_time,avg_cost_for_two,partner_name,vehicle_type,vehicle_no,phone_x,rating_y,joined_date,active,customer_name,phone_y,email,signup_date,address_y,city_y,postcode,loyalty_points,order_hour,order_day,order_month
ORD500000,2023-01-16 00:15:00,CUST1393,REST3529,DP2442,2,424.21,Card,delivered,30,64,9.07,50,Grill Patel,Seafood,4.33,134 Lane,Pune,11:00,22:00,592,Priya Kapoor,Bicycle,UP46G2520,8874701601,3.98,2022-03-10,True,Saira Nair,9941182345,saira.nair393@example.com,2024-01-11,178 Station Road,Lucknow,284971,1002,0,Monday,1
ORD500001,2023-01-05 16:45:00,CUST1395,REST3581,DP2176,3,1515.37,UPI,delivered,39,70,4.74,50,Cafe Joshi,Fast Food,4.76,52 Street,Lucknow,8:00,01:00,1130,Rhea Mehta,Bicycle,TN62B6468,8787716936,4.6,2022-04-14,True,Aarav Nair,9673301517,aarav.nair395@example.com,2020-03-10,209 Sector,Lucknow,639990,1337,16,Thursday,1
ORD500002,2023-01-10 03:28:00,CUST1588,REST3202,DP2154,4,561.88,UPI,delivered,31,68,6.91,100,House Mehta,Mexican,4.24,164 Road,Ahmedabad,10:00,22:00,343,Karan Verma,Bicycle,TN50M9784,8881980993,4.69,2023-03-12,True,Amit Khan,9896419638,amit.khan588@example.com,2018-08-09,4 Cross Street,Chennai,760706,907,3,Tuesday,1
ORD500003,2023-01-03 23:18:00,CUST1498,REST3323,DP2543,6,694.31,Card,delivered,24,57,3.95,10,Bites Khan,North Indian,3.92,79 Avenue,Pune,9:00,21:30,491,Sahil Das,Scooter,TN68M4005,8975016161,5.0,2022-05-18,True,Kavya Malhotra,9811958979,kavya.malhotra498@example.com,2018-05-23,129 Block,Lucknow,949333,1170,23,Tuesday,1
ORD500004,2023-01-03 05:00:00,CUST1066,REST3087,DP2021,1,83.05,Card,delivered,37,48,2.93,0,Cafe Kapoor,South Indian,4.05,110 Street,Jaipur,11:00,22:00,431,Saira Gupta,Bicycle,UP94E8921,8792626890,4.53,2016-06-14,True,Maya Malhotra,9752356666,maya.malhotra66@example.com,2023-10-13,170 Block,Kolkata,207923,481,5,Tuesday,1
ORD500005,2023-01-20 09:38:00,CUST1092,REST3320,DP2365,2,350.37,UPI,delivered,29,38,6.1,0,Taste Kapoor,Fast Food,4.63,126 Complex,Pune,9:00,22:00,745,Vidyut Singh,Bicycle,UP25Q9605,8735188420,4.48,2021-07-26,True,Arnav Patel,9979733439,arnav.patel92@example.com,2019-09-19,112 Station Road,Lucknow,792054,553,9,Friday,1
ORD500006,2023-01-20 03:07:00,CUST1067,REST3371,DP2323,5,314.94,Wallet,delivered,51,71,2.37,0,Cafe Singh,South Indian,3.93,47 Lane,Bengaluru,10:00,21:30,191,Arjun Rao,Scooter,MH22Z3028,8923084605,5.0,2018-04-21,True,Maya Rao,9720603039,maya.rao67@example.com,2020-03-26,38 MG Road,Mumbai,366736,973,3,Friday,1
ORD500007,2023-01-08 16:55:00,CUST1179,REST3296,DP2310,1,187.35,UPI,delivered,36,35,0.46,100,Dine Kapoor,Seafood,4.13,127 Street,Bengaluru,11:00,22:00,491,Aarav Singh,Bike,TN18T6927,8911957308,4.53,2021-05-22,False,Nikhil Joshi,9776977336,nikhil.joshi179@example.com,2019-05-16,106 Cross Street,Pune,866086,105,16,Sunday,1
ORD500008,2023-01-04 17:09:00,CUST1425,REST3121,DP2545,5,521.59,Wallet,delivered,51,85,1.68,50,House Gupta,Desserts,3.52,133 Complex,Lucknow,10:00,01:00,418,Isha Mehta,Car,TN80D7041,8641088680,4.36,2024-06-21,True,Aarzoo Chopra,9868211333,aarzoo.chopra425@example.com,2024-08-29,19 Block,Mumbai,488638,648,17,Wednesday,1
ORD500009,2023-01-07 09:35:00,CUST1255,REST3116,DP2150,4,1336.09,Card,delivered,47,45,1.23,100,Dine Mehta,North Indian,4.25,62 Road,Delhi,8:00,21:30,1140,Reyansh Chopra,Bike,MH55C8808,8671987208,4.68,2021-08-19,False,Kabir Iyer,9820543950,kabir.iyer255@example.com,2022-08-05,211 Block,Delhi,241414,649,9,Saturday,1
